@type,country,countryCode,county,countyId,data_max_gap,data_max_year,data_min_year,data_nyears,data_success,externalIds,geometry,icaoCodes,id,masl,municipality,municipalityId,name,shipCodes,shortName,stationHolders,validFrom,wigosId,wmoId
SensorSystem,Norge,NO,ROGALAND,11.0,1.0,2019,2004,16,True,"['01408', '10.249.0.63', 'ENHD']","{'@type': 'Point', 'coordinates': [5.2115, 59.3445], 'nearest': False}",['ENHD'],SN47260,24.0,KARMØY,1149,HAUGESUND LUFTHAVN,,Haugesund LH,['AVINOR'],1975-04-01T00:00:00.000Z,0-20000-0-01408,1408.0
SensorSystem,Norge,NO,NORDLAND,18.0,1.0,2019,2004,16,True,"['01161', '10.249.0.18', 'ENSH']","{'@type': 'Point', 'coordinates': [14.6693, 68.2453], 'nearest': False}",['ENSH'],SN85450,9.0,VÅGAN,1865,SVOLVÆR LUFTHAVN,,Svolvær LH,['AVINOR'],1972-06-01T00:00:00.000Z,0-20000-0-01161,1161.0
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,1.0,2019,2005,15,True,"['01065', '10.249.0.20', '10.249.0.221']","{'@type': 'Point', 'coordinates': [25.5023, 69.4635], 'nearest': False}",,SN97251,131.0,KARASJOK,5437,KARASJOK - MARKANNJARGA,,Karasjok,['MET.NO'],2004-07-08T00:00:00.000Z,0-20000-0-01065,1065.0
SensorSystem,Norge,NO,VIKEN,30.0,1.0,2019,2007,13,True,['01359'],"{'@type': 'Point', 'coordinates': [8.1948, 60.53], 'nearest': False}",,SN25630,772.0,HOL,3044,GEILO - OLDEBRÅTEN,,Geilo,['MET.NO'],2006-07-01T00:00:00.000Z,0-20000-0-01359,1359.0
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15.0,1.0,2019,2004,16,True,"['01209', '10.249.0.153', '10.249.0.58', 'ENOV']","{'@type': 'Point', 'coordinates': [6.0807, 62.181], 'nearest': False}",['ENOV'],SN59680,74.0,ØRSTA,1520,ØRSTA-VOLDA LUFTHAMN,,Ørsta-Volda LH,['AVINOR'],1971-06-01T00:00:00.000Z,0-20000-0-01209,1209.0
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,2.0,2019,1965,54,True,"['01025', '10.249.0.39', 'ENTC']","{'@type': 'Point', 'coordinates': [18.9133, 69.6767], 'nearest': False}",['ENTC'],SN90490,8.0,TROMSØ,5401,TROMSØ - LANGNES,,Tromsø LH,['AVINOR'],1964-09-30T00:00:00.000Z,0-20000-0-01025,1025.0
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,2.0,2019,2004,15,True,['01180'],"{'@type': 'Point', 'coordinates': [16.5362, 68.8029], 'nearest': False}",,SN87640,45.0,HARSTAD,5402,HARSTAD STADION,,Harstad,['MET.NO'],2002-08-01T00:00:00.000Z,0-20000-0-01180,1180.0
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15.0,1.0,2018,1984,35,True,['1226'],"{'@type': 'Point', 'coordinates': [8.5473, 62.6785], 'nearest': False}",,SN63420,6.0,SUNNDAL,1563,SUNNDALSØRA III,,Sunndalsøra,"['MET.NO', 'HYDRO ALUMINIUM SUNNDAL']",1954-06-01T00:00:00.000Z,,1226.0
SensorSystem,Norge,NO,ROGALAND,11.0,1.0,2019,2011,9,True,"['01426', '10.249.0.138']","{'@type': 'Point', 'coordinates': [5.8718, 58.4353], 'nearest': False}",,SN43350,49.0,EIGERSUND,1101,EIGERØYA,,Eigerøya,['MET.NO'],2010-04-15T00:00:00.000Z,0-20000-0-01426,1426.0
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,,2012,2012,1,True,"['01035', '10.249.0.8']","{'@type': 'Point', 'coordinates': [20.094, 69.5588], 'nearest': False}",,SN91130,710.0,LYNGEN,5424,LYNGEN - GJERDVASSBU,,Lyngen,['MET.NO'],2011-11-17T00:00:00.000Z,0-20000-0-01035,1035.0
