@type,country,countryCode,county,countyId,data_max_gap,data_max_year,data_min_year,data_nyears,data_success,externalIds,geometry,icaoCodes,id,masl,municipality,municipalityId,name,shipCodes,shortName,stationHolders,validFrom,wigosId,wmoId,latitude,longitude
SensorSystem,Norge,NO,VESTLAND,46,1,2019,1957,63,True,"['01317', '10.249.0.159']","{'@type': 'Point', 'coordinates': [5.3327, 60.383], 'nearest': False}",,SN50540,12,BERGEN,4601,BERGEN - FLORIDA,,Bergen,['MET.NO'],1949-11-28T00:00:00.000Z,0-20000-0-01317,1317.0,5.3327,60.383
SensorSystem,Norge,NO,TROMS OG FINNMARK,54,2,2019,1900,119,True,"['01098', '10.249.0.26', '10.249.1.53', 'LGV']","{'@type': 'Point', 'coordinates': [31.0962, 70.3707], 'nearest': False}",,SN98550,10,VARDØ,5404,VARDØ RADIO,['LGV'],Vardø radio,['MET.NO'],1829-06-01T00:00:00.000Z,,1098.0,31.0962,70.3707
SensorSystem,Norge,NO,AGDER,42,2,2019,1947,72,True,"['01467', '10.249.0.216']","{'@type': 'Point', 'coordinates': [9.1479, 58.6361], 'nearest': False}",,SN35860,4,TVEDESTRAND,4213,LYNGØR FYR,,Lyngør fyr,['MET.NO'],1920-07-01T00:00:00.000Z,0-20000-0-01467,1467.0,9.1479,58.6361
SensorSystem,Norge,NO,TRØNDELAG,50,2,2018,1975,43,True,"['01102', '10.249.1.57']","{'@type': 'Point', 'coordinates': [10.9965, 65.2023], 'nearest': False}",,SN75550,23,LEKA,5052,SKLINNA FYR,,Sklinna fyr,['MET.NO'],1974-11-01T00:00:00.000Z,0-20000-0-01102,1102.0,10.9965,65.2023
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15,2,2019,1959,60,True,"['01210', '10.249.0.154', '10.249.0.59', 'ENAL']","{'@type': 'Point', 'coordinates': [6.115, 62.5617], 'nearest': False}",['ENAL'],SN60990,22,GISKE,1532,VIGRA,,Vigra,['AVINOR'],1958-07-01T00:00:00.000Z,0-20000-0-01210,1210.0,6.115,62.5617
SensorSystem,Norge,NO,AGDER,42,2,2019,1920,97,True,"['01427', '10.249.0.211']","{'@type': 'Point', 'coordinates': [6.5675, 58.109], 'nearest': False}",,SN42160,14,FARSUND,4206,LISTA FYR,,Lista fyr,['MET.NO'],1867-07-01T00:00:00.000Z,0-20000-0-01427,1427.0,6.5675,58.109
SensorSystem,Norge,NO,NORDLAND,18,2,2019,1931,88,True,"['01160', '10.249.0.104']","{'@type': 'Point', 'coordinates': [14.6425, 68.1528], 'nearest': False}",,SN85380,11,VÅGAN,1865,SKROVA FYR,,Skrova fyr,['MET.NO'],1933-05-01T00:00:00.000Z,0-20000-0-01160,1160.0,14.6425,68.1528
SensorSystem,Norge,NO,AGDER,42,2,2018,1900,117,True,"['01448', '10.249.1.65']","{'@type': 'Point', 'coordinates': [8.0532, 58.0732], 'nearest': False}",,SN39100,9,KRISTIANSAND,4204,OKSØY FYR,,Oksøy fyr,['MET.NO'],1864-05-01T00:00:00.000Z,0-20000-0-01448,1448.0,8.0532,58.0732
SensorSystem,Norge,NO,VESTLAND,46,2,2019,1956,63,True,"['01311', '10.249.0.174', '10.249.0.62', 'ENBR']","{'@type': 'Point', 'coordinates': [5.2265, 60.2892], 'nearest': False}",['ENBR'],SN50500,48,BERGEN,4601,FLESLAND,,Flesland,"['AVINOR', 'MET.NO']",1955-10-02T00:00:00.000Z,0-20000-0-01311,1311.0,5.2265,60.2892
SensorSystem,Norge,NO,INNLANDET,34,1,2019,1981,39,True,"['01380', '10.249.0.165']","{'@type': 'Point', 'coordinates': [10.1082, 61.6513], 'nearest': False}",,SN13420,930,RINGEBU,3439,VENABU,,Venabu,['MET.NO'],1980-08-01T00:00:00.000Z,0-20000-0-01380,1380.0,10.1082,61.6513
SensorSystem,Svalbard og Jan Mayen,SJ,JAN MAYEN,22,2,2019,1921,96,True,"['01001', 'ENJA']","{'@type': 'Point', 'coordinates': [-8.669, 70.9394], 'nearest': False}",['ENJA'],SN99950,10,JAN MAYEN,2211,JAN MAYEN,,Jan Mayen,['MET.NO'],1908-08-01T00:00:00.000Z,0-20000-0-01001,1001.0,-8.669,70.9394
SensorSystem,Norge,NO,AUST-AGDER,9,3,2019,1900,116,True,"['01465', '10.249.1.173']","{'@type': 'Point', 'coordinates': [8.7893, 58.3988], 'nearest': False}",,SN36200,12,ARENDAL,906,TORUNGEN FYR,,Torungen fyr,['MET.NO'],1867-07-01T00:00:00.000Z,0-20000-0-01465,1465.0,8.7893,58.3988
SensorSystem,Norge,NO,VESTFOLD OG TELEMARK,38,1,2019,1900,120,True,"['01482', '10.249.0.189']","{'@type': 'Point', 'coordinates': [10.5242, 59.0272], 'nearest': False}",,SN27500,6,FÆRDER,3811,FÆRDER FYR,,Færder fyr,['MET.NO'],1885-01-01T00:00:00.000Z,0-20000-0-01482,1482.0,10.5242,59.0272
SensorSystem,Norge,NO,VESTFOLD OG TELEMARK,38,2,2019,1981,36,True,['01450'],"{'@type': 'Point', 'coordinates': [8.1785, 59.8397], 'nearest': False}",,SN31620,977,VINJE,3825,MØSSTRAND II,,Møsstrand,['MET.NO'],1980-11-01T00:00:00.000Z,0-20000-0-01450,1450.0,8.1785,59.8397
SensorSystem,Norge,NO,TROMS OG FINNMARK,54,3,2019,1934,81,True,"['01033', '10.249.1.135']","{'@type': 'Point', 'coordinates': [19.4997, 70.2452], 'nearest': False}",,SN90800,21,KARLSØY,5423,TORSVÅG FYR,,Torsvåg fyr,['MET.NO'],1933-09-11T00:00:00.000Z,0-20000-0-01033,1033.0,19.4997,70.2452
SensorSystem,Norge,NO,NORDLAND,18,2,2019,1992,27,True,"['01108', '10.249.0.198']","{'@type': 'Point', 'coordinates': [11.8562, 65.7017], 'nearest': False}",,SN76450,4,VEGA,1815,VEGA - VALLSJØ,,Vega,['MET.NO'],1991-02-01T00:00:00.000Z,0-20000-0-01108,1108.0,11.8562,65.7017
SensorSystem,Norge,NO,AGDER,42,2,2018,1967,51,True,['01459'],"{'@type': 'Point', 'coordinates': [8.63, 58.6582], 'nearest': False}",,SN36560,142,ÅMLI,4217,NELAUG,,Nelaug,['MET.NO'],1966-07-01T00:00:00.000Z,0-20000-0-01459,1459.0,8.63,58.6582
SensorSystem,Norge,NO,ROGALAND,11,1,2019,1936,84,True,"['01415', '10.249.0.173', '10.249.0.64', 'ENZV']","{'@type': 'Point', 'coordinates': [5.637, 58.8843], 'nearest': False}",['ENZV'],SN44560,7,SOLA,1124,SOLA,,Sola,"['AVINOR', 'MET.NO']",1935-05-21T00:00:00.000Z,0-20000-0-01415,1415.0,5.637,58.8843
SensorSystem,Norge,NO,TRØNDELAG,50,2,2019,1955,64,True,"['01241', '10.249.0.56', 'ENOL']","{'@type': 'Point', 'coordinates': [9.6105, 63.7045], 'nearest': False}",['ENOL'],SN71550,10,ØRLAND,5057,ØRLAND III,,Ørland,['MET.NO'],1954-07-01T00:00:00.000Z,0-20000-0-01241,1241.0,9.6105,63.7045
SensorSystem,Norge,NO,NORDLAND,18,3,2019,1963,54,True,"['01010', '10.249.0.55', '10.249.1.89', 'ENAN']","{'@type': 'Point', 'coordinates': [16.1312, 69.3073], 'nearest': False}",['ENAN'],SN87110,10,ANDØY,1871,ANDØYA,,Andøya LH,"['AVINOR', 'MET.NO']",1958-01-01T00:00:00.000Z,0-20000-0-01010,1010.0,16.1312,69.3073
SensorSystem,Norge,NO,VESTFOLD OG TELEMARK,38,2,2019,1998,21,True,"['01470', '10.249.0.133', '10.30.214.1']","{'@type': 'Point', 'coordinates': [9.2128, 59.3822], 'nearest': False}",,SN32060,93,MIDT-TELEMARK,3817,GVARV - NES,,Gvarv,['MET.NO'],1997-05-13T00:00:00.000Z,0-20000-0-01470,1470.0,9.2128,59.3822
SensorSystem,Norge,NO,VIKEN,30,1,2019,1941,79,True,"['01384', 'ENGM']","{'@type': 'Point', 'coordinates': [11.0802, 60.2065], 'nearest': False}",['ENGM'],SN4780,202,ULLENSAKER,3033,GARDERMOEN,,Gardermoen,['AVINOR'],1940-05-13T00:00:00.000Z,0-20000-0-01384,1384.0,11.0802,60.2065
SensorSystem,Norge,NO,INNLANDET,34,2,2019,1983,36,True,"['01378', '10.249.1.155']","{'@type': 'Point', 'coordinates': [10.4762, 61.0917], 'nearest': False}",,SN12680,240,LILLEHAMMER,3405,LILLEHAMMER - SÆTHERENGEN,,Lillehammer,['MET.NO'],1982-12-01T00:00:00.000Z,0-20000-0-01378,1378.0,10.4762,61.0917
SensorSystem,Norge,NO,VESTLAND,46,3,2019,1951,67,True,"['01319', '10.249.0.89']","{'@type': 'Point', 'coordinates': [5.3813, 61.0272], 'nearest': False}",,SN52860,38,GULEN,4635,TAKLE,,Takle,['MET.NO'],1950-06-01T00:00:00.000Z,0-20000-0-01319,1319.0,5.3813,61.0272
SensorSystem,Norge,NO,OSLO,3,1,2019,1938,82,True,"['01492', '10.249.0.189', '157.249.0.180:6785']","{'@type': 'Point', 'coordinates': [10.72, 59.9423], 'nearest': False}",,SN18700,94,OSLO,301,OSLO - BLINDERN,,Oslo (Blindern),['MET.NO'],1931-01-01T00:00:00.000Z,0-20000-0-01492,1492.0,10.72,59.9423
SensorSystem,Svalbard og Jan Mayen,SJ,SVALBARD,21,1,2019,1976,44,True,"['01008', '10.249.0.179', '10.249.0.28', '10.249.0.67', 'ENSB']","{'@type': 'Point', 'coordinates': [15.5015, 78.2453], 'nearest': False}",['ENSB'],SN99840,28,SVALBARD,2100,SVALBARD LUFTHAVN,,Svalbard LH,"['MET.NO', 'AVINOR']",1964-10-16T00:00:00.000Z,0-20000-0-01008,1008.0,15.5015,78.2453
SensorSystem,Norge,NO,ROGALAND,11,2,2019,1900,119,True,"['01403', '10.249.0.16']","{'@type': 'Point', 'coordinates': [4.8723, 59.3065], 'nearest': False}",,SN47300,55,UTSIRA,1151,UTSIRA FYR,,Utsira,['MET.NO'],1860-01-01T00:00:00.000Z,0-20000-0-01403,1403.0,4.8723,59.3065
SensorSystem,Norge,NO,TROMS OG FINNMARK,54,3,2018,1925,90,True,['01092'],"{'@type': 'Point', 'coordinates': [30.07, 70.7057], 'nearest': False}",,SN98400,9,BÅTSFJORD,5443,MAKKAUR FYR,,Makkaur fyr,['MET.NO'],1924-01-01T00:00:00.000Z,0-20000-0-01092,1092.0,30.07,70.7057
